# COLMAP_ID X Y Z
33 -41.6934 55.06 142.868
2647 -106.748 -310.851 432.672
290 572.706 -460.471 3050.66
575 -91.3804 89.2654 153.842
34 -55.1282 61.1095 145.874
291 542.165 -448.868 3157.98
576 148.13 124.662 87.8402
2392 503.433 -482.105 3256.22
2649 -854.198 -264.017 2763.14
36 7.71245 66.5324 128.573
578 141.155 160.504 88.7353
2394 -766.035 -274.396 2906.24
1146 -257.063 215.079 491.565
579 216.918 153.359 70.7974
1147 -257.95 208.996 464.526
2396 -657.78 -263.676 2903.09
39 -0.215961 69.2628 131.104
1148 -235.555 217.955 507.736
2397 -598.656 -214.789 2768
40 -8.23861 71.3374 133.909
1149 -97.0039 181.193 147.695
2654 -284.876 81.8313 1104.68
2398 -563.35 -218.151 2762.06
41 -3.03641 72.4151 132.129
2655 -514.645 33.9838 951.864
298 -291.26 -166.363 1577.94
2399 489.324 -379.237 3243.78
2656 -184.322 68.9642 945.392
300 -308.904 -103.679 1289.78
44 2.03767 73.5361 131.37
2658 -210.12 73.127 918.808
2403 395.844 -247.393 2532.89
1155 -642.548 -68.4196 1436.56
2660 -433.624 58.8629 861.154
303 -239.925 -91.661 1193.98
2404 -44.9998 -155.726 1763.85
2661 -443.691 56.2853 840.923
1157 -637.217 -3.7779 1309.26
305 -43.4726 -37.0955 1189.78
1158 307.619 -54.9956 997.52
306 -94.5768 -27.4094 1667.28
1159 -516.38 30.3699 1022.13
307 -33.1272 -33.7007 1147.01
2408 83.3807 -117.026 1602.62
2665 234.002 -82.1754 1543.33
593 206.271 -444.648 3147.03
2409 297.165 -112.991 986.023
52 -94.954 177.562 145.873
2666 -145.628 -80.0018 1231.57
2410 -127.854 -27.8948 1648.94
3667 1739.52 -285.529 2869.9
3675 348.895 -360.415 2897.61
3681 45.9311 80.5887 1047.12
3684 245.175 129.682 61.521
3691 -109.345 -208.493 3060.89
3711 261.972 125.959 57.138
3751 252.522 124.94 54.1919
3764 298.003 173.886 44.2397
3765 299.717 180.207 45.7029
3772 228.795 -70.5666 1509.4
3779 282.253 132.833 51.4481
3785 213.528 154.022 61.5026
3786 162.89 156.789 77.9567
3788 179.151 160.125 73.5677
3789 179.151 160.125 73.5677
3790 205.524 164.559 70.3063
3791 195.51 163.96 68.7426
3792 195.51 163.96 68.7426
3793 157.748 176.341 79.8883
3795 311.322 187.126 45.0627
3802 -76.9836 70.2933 1045.27
3805 170.616 139.917 79.2625
3806 270.426 144.027 47.5617
3808 296.322 149.823 41.9878
3809 175.761 177.381 73.572
3812 75.0464 -394.951 3968.61
3818 375.163 165.648 683.769
3819 -34.9542 39.8706 151.166
3820 263.33 102.466 52.0717
3822 175.986 124.607 65.0926
3823 196.112 149.681 73.8022
3827 1701.89 -206.326 2787.52
3830 222.362 120.098 56.005
3831 209.6 130.159 66.9439
3833 206.336 159.721 69.1733
3836 255.424 128.085 47.281
3839 298.066 176.028 43.1038
3841 273.467 113.833 47.7965
3846 290.984 167.437 46.3744
3849 -24.6725 52.322 649.946
3852 -86.9251 68.7663 1121.6
3853 355.716 -269.509 567.373
3854 152.456 118.27 85.7955
3855 -55.8524 -268.921 515.411
3858 279.506 -25.2058 1101.53
3860 327.028 -66.6485 1014.68
3862 -169.165 55.8574 1099.57
