# COLMAP_ID X Y Z
173 1.32316 0.210514 183.094
174 1.32316 0.210514 183.094
175 2.35979 0.185296 144.787
176 3.03652 0.230269 145.027
177 2.08993 0.335292 144.944
178 3.13868 0.304548 145.357
179 3.13581 0.317781 145.027
180 2.0584 0.697354 181.893
181 1.97729 0.422514 144.983
182 1.66852 -1.17234 145.387
183 1.66676 -1.1779 145.438
184 1.69553 -0.97466 145.382
185 1.69553 -0.97466 145.382
186 4.19641 -1.37862 181.833
187 4.19641 -1.37862 181.833
188 5.22102 -1.22611 182.251
189 4.34347 -1.12984 198.443
190 2.04209 0.147731 144.929
191 2.04209 0.147731 144.929
192 2.46536 0.255056 144.697
193 1.53973 0.372528 145.263
194 2.93119 0.348467 144.694
195 3.44198 0.319619 145.605
196 1.65799 0.458541 145.149
197 1.65799 0.458541 145.149
198 -0.459334 0.228685 155.107
199 1.25253 0.565164 145.342
200 0.952032 0.710938 145.403
201 2.1965 0.25698 144.871
202 2.93219 -0.283794 144.914
203 3.39499 -0.354006 173.466
204 2.55468 -0.0385562 144.642
205 2.55604 -0.0402252 144.715
206 1.9731 -1.21984 145.264
207 2.11614 -0.143738 144.956
208 2.23426 -0.305841 150.851
209 1.2846 0.0945525 179.82
210 0.548182 0.448976 184.286
211 1.1005 0.472543 172.804
212 1.59219 0.438866 145.176
213 2.02259 0.471422 144.943
214 2.53682 -1.58901 144.689
215 1.21303 0.0457916 179.991
216 1.22459 0.37779 184.099
217 2.01206 0.222587 145.013
218 -3.14641 0.561801 165.851
219 -1.32243 0.271415 154.73
220 -0.970179 4.824 210.082
221 2.5572 -1.56456 144.754
222 2.10732 -1.4626 145.021
223 2.10732 -1.4626 145.021
225 2.18765 -0.858644 144.962
226 1.94344 -0.349455 145.082
227 2.25982 -0.339725 144.861
228 1.7979 -0.0494524 145.257
229 2.64826 0.0103581 144.549
230 1.01883 0.155082 178.533
231 2.09077 0.1191 144.883
232 0.558389 0.507436 186.793
234 1.88382 -0.793631 145.176
